03AB	Meizu Technology
03AD	XiQ
03AE	Allswell
03AF	Comm-N-Sense Corp DBA Verigo
03B0	VIBRADORM
03B1	Otodata Wireless Network
03B2	Propagation Systems
03B3	Midwest Instruments & Controls
03B4	Alpha Nodus
03B5	petPOMM
03B6	Mattel
03B7	Airbly
03B8	A-Safe
03B9	FREDERIQUE CONSTANT
03BA	Maxscend Microelectronics
03BB	Abbott
03BC	ASB Bank
03BD	amadas
03BE	Applied Science
03BF	iLumi Solutions
03C0	Arch Systems
03C1	Ember Technologies
03C2	Snapchat
03C3	Casambi Technologies
03C4	Pico Technology
03C5	St. Jude Medical
03C6	Intricon
03C7	Structural Health Systems
03C8	Avvel International
03C9	Gallagher Group
03CA	In2things Automation Pvt.
03CB	SYSDEV
03CC	Vonkil Technologies
03CD	Wynd Technologies
03CE	CONTRINEX
03CF	MIRA
03D0	Watteam
03D1	Density
03D2	IOT Pot India Private
03D3	Sigma Connectivity
03D4	PEG PEREGO
03D5	Wyzelink Systems
03D6	Yota Devices
03D7	FINSECUR
03D8	Zen-Me Labs
03D9	3IWare
03DA	EnOcean
03DB	Instabeat
03DC	Nima Labs
03DD	Andreas Stihl
03DE	Nathan Rhoades
03DF	Grob Technologies
03E0	Actions Technology
03E1	SPD Development
03E2	Sensoan
03E3	Qualcomm Life
03E4	Chip-ing
03E5	ffly4u
03E6	IoT Instruments
03E7	TRUE Fitness Technology
03E9	SHENZHEN LEMONJOY TECHNOLOGY
03EA	Hello
03EB	Ozo Edu
03EC	Jigowatts
03ED	BASIC MICRO.COM
03EE	CUBE TECHNOLOGIES
03EF	foolography
03F0	CLINK
03F1	Hestan Smart Cooking
03F2	WindowMaster
03F4	PAL Technologies
03F5	WHERE
03F6	Iton Technology
03F7	Owl Labs
03F8	Rockford
03F9	Becon Technologies
03FA	Vyassoft Technologies
03FB	Nox Medical
03FC	Kimberly-Clark
03FD	Trimble
03FE	Littelfuse
03FF	Withings
0400	i-developer IT Beratung
0401	Relations
0402	Sears Holdings
0403	Gantner Electronic
0404	Authomate
0405	Vertex International
0407	Swiss Audio
0408	ToGetHome
0409	RYSE
040A	ZF OPENMATICS s.r.o.
040B	Jana Care
040D	NorthStar Battery
040E	SKF (U.K.)
040F	CO-AX Technology
0410	Fender Musical Instruments
0411	Luidia
0412	SEFAM
0413	Wireless Cables
0416	SODA
0417	Fatigue Science
0419	Novalogy
041A	Friday Labs
041B	OrthoAccel Technologies
041C	WaterGuru
041D	Benning Elektrotechnik und Elektronik
041E	Dell Computer
041F	Kopin
0420	TecBakery
0421	Backbone Labs
0422	DELSEY
0423	Chargifi
0424	Trainesense
0425	Unify Software and Solutions
0426	Husqvarna
0427	Focus fleet and fuel management
0428	SmallLoop
0429	Prolon
042A	BD Medical
042B	iMicroMed
042C	Ticto
042D	Meshtech
042E	MemCachier
042F	Danfoss
0430	SnapStyk
0431	Alticor
0432	Silk Labs
0433	Pillsy
0434	Hatch Baby
0435	Blocks Wearables
0436	Drayson Technologies (Europe)
0437	eBest IOT
0438	Helvar
0439	Radiance Technologies
043A	Nuheara
043B	Appside
043D	Coiler
043E	Thermomedics
043F	Tentacle Sync
